offers_A,demands_A,offers_B,demands_B,compatibility_percent
"[52, 26, 72, 39, 33]","[31, 41, 11, 22, 9]","[35, 24, 93, 19, 60]","[10, 35, 30, 40, 44]",71.82795698924731
"[32, 44, 16, 92, 15]","[86, 95, 84, 33, 38]","[64, 17, 66, 81, 34]","[79, 40, 50, 43, 90]",60.10526315789474
"[11, 2, 85, 98, 46]","[26, 80, 34, 39, 79]","[9, 98, 43, 98, 58]","[66, 19, 57, 90, 100]",71.4
"[52, 6, 50, 12, 55]","[75, 97, 79, 19, 15]","[7, 69, 31, 22, 44]","[1, 8, 96, 30, 31]",67.31958762886597
"[14, 81, 72, 96, 5]","[100, 8, 48, 65, 13]","[4, 87, 54, 74, 32]","[30, 53, 12, 3, 5]",59.4
"[73, 80, 63, 6, 39]","[21, 31, 30, 89, 60]","[97, 3, 41, 64, 54]","[91, 12, 20, 90, 11]",60.103092783505154
"[2, 100, 9, 22, 79]","[100, 13, 85, 5, 66]","[60, 71, 46, 50, 95]","[2, 17, 91, 2, 21]",54.6
"[13, 32, 80, 42, 38]","[58, 17, 81, 73, 15]","[72, 87, 4, 17, 68]","[56, 77, 87, 92, 81]",50.21739130434783
"[13, 33, 30, 87, 63]","[5, 17, 100, 77, 24]","[43, 8, 24, 89, 83]","[82, 7, 40, 91, 12]",64.6
"[47, 3, 35, 11, 76]","[78, 89, 66, 23, 36]","[32, 27, 79, 2, 25]","[13, 16, 5, 64, 66]",67.07865168539325
"[16, 84, 37, 29, 33]","[99, 32, 55, 66, 95]","[36, 80, 42, 70, 89]","[2, 43, 7, 53, 40]",74.74747474747475
"[86, 47, 98, 12, 51]","[56, 89, 78, 50, 36]","[18, 1, 51, 13, 52]","[36, 14, 33, 67, 79]",55.40816326530612
"[93, 21, 95, 9, 32]","[72, 59, 93, 93, 58]","[94, 75, 13, 92, 10]","[44, 60, 12, 35, 68]",57.89473684210526
"[13, 54, 40, 97, 66]","[93, 12, 22, 49, 92]","[41, 38, 69, 57, 60]","[64, 99, 51, 36, 65]",66.26262626262626
"[23, 55, 22, 5, 58]","[92, 15, 55, 68, 39]","[44, 45, 80, 56, 48]","[63, 47, 73, 71, 2]",62.5
"[92, 38, 76, 76, 14]","[32, 9, 48, 71, 40]","[72, 73, 43, 2, 18]","[71, 64, 64, 94, 81]",63.40425531914894
"[27, 98, 80, 40, 56]","[98, 87, 56, 67, 72]","[89, 12, 47, 39, 84]","[28, 80, 30, 68, 11]",71.93877551020408
"[50, 22, 14, 20, 9]","[18, 91, 20, 97, 85]","[18, 41, 7, 85, 4]","[76, 34, 1, 81, 82]",64.84536082474227
"[7, 41, 34, 76, 41]","[49, 82, 11, 47, 26]","[45, 96, 4, 27, 1]","[48, 89, 73, 75, 94]",73.75
"[46, 88, 73, 81, 3]","[8, 66, 63, 6, 50]","[77, 6, 86, 1, 45]","[13, 63, 67, 58, 85]",62.38636363636363
"[18, 99, 21, 37, 64]","[86, 15, 66, 76, 29]","[56, 26, 61, 91, 7]","[90, 100, 88, 23, 58]",75.7
"[50, 74, 56, 94, 83]","[12, 100, 7, 5, 46]","[89, 24, 50, 33, 64]","[31, 35, 7, 9, 29]",51.2
"[79, 93, 93, 46, 14]","[61, 89, 39, 33, 45]","[60, 59, 12, 73, 16]","[94, 47, 31, 50, 78]",66.17021276595744
"[44, 26, 10, 34, 83]","[5, 41, 98, 42, 55]","[12, 14, 98, 26, 39]","[69, 59, 85, 9, 81]",76.9387755102041
"[56, 88, 41, 98, 15]","[16, 51, 47, 57, 84]","[39, 63, 76, 33, 12]","[19, 74, 54, 14, 24]",67.65306122448979
"[45, 86, 36, 51, 93]","[12, 40, 58, 72, 75]","[25, 60, 32, 5, 84]","[79, 50, 27, 20, 32]",67.09677419354838
"[90, 71, 57, 3, 27]","[68, 34, 17, 45, 96]","[47, 80, 79, 33, 30]","[90, 52, 31, 100, 8]",63.2
"[83, 68, 38, 13, 11]","[86, 19, 12, 74, 25]","[96, 34, 19, 47, 10]","[21, 7, 42, 76, 41]",69.37499999999999
"[78, 36, 92, 51, 92]","[2, 71, 96, 50, 97]","[36, 68, 57, 51, 79]","[57, 30, 75, 9, 58]",77.83505154639175
"[39, 46, 49, 7, 95]","[21, 87, 73, 68, 31]","[91, 95, 90, 100, 40]","[68, 43, 24, 31, 96]",78.2
"[12, 28, 5, 54, 21]","[24, 47, 33, 87, 53]","[40, 67, 53, 54, 18]","[46, 41, 52, 34, 68]",67.24137931034483
"[81, 20, 95, 89, 40]","[97, 21, 23, 14, 88]","[97, 77, 44, 99, 29]","[49, 45, 6, 1, 13]",51.313131313131315
"[60, 66, 66, 19, 88]","[56, 61, 71, 33, 46]","[45, 72, 75, 12, 69]","[28, 39, 59, 70, 87]",78.63636363636364
"[10, 13, 62, 94, 39]","[93, 50, 78, 67, 45]","[52, 56, 34, 83, 39]","[76, 49, 43, 89, 77]",70.53191489361703
"[14, 90, 95, 61, 39]","[40, 39, 60, 93, 56]","[29, 65, 89, 83, 81]","[59, 74, 41, 51, 80]",71.89473684210526
"[16, 72, 32, 93, 22]","[72, 81, 12, 9, 49]","[1, 85, 21, 32, 73]","[25, 36, 41, 100, 64]",76.6
"[6, 78, 2, 90, 29]","[71, 37, 37, 34, 37]","[36, 28, 48, 41, 59]","[85, 27, 95, 70, 59]",62.421052631578945
"[80, 43, 47, 19, 85]","[45, 94, 89, 79, 69]","[56, 39, 66, 15, 54]","[54, 69, 76, 78, 100]",67.7
"[97, 80, 66, 94, 91]","[70, 16, 59, 91, 28]","[61, 14, 4, 86, 100]","[56, 47, 100, 93, 47]",70.4
"[44, 11, 51, 75, 58]","[84, 5, 86, 74, 65]","[26, 20, 8, 76, 78]","[23, 17, 52, 91, 73]",75.27472527472527
"[86, 57, 5, 19, 90]","[5, 20, 68, 36, 43]","[73, 87, 67, 96, 58]","[81, 78, 43, 69, 90]",66.14583333333333
"[89, 65, 73, 18, 5]","[68, 71, 72, 14, 29]","[29, 88, 23, 63, 76]","[9, 75, 32, 73, 54]",51.01123595505618
"[39, 71, 83, 24, 35]","[41, 64, 27, 22, 88]","[94, 25, 18, 19, 32]","[57, 64, 100, 44, 57]",75.6
"[54, 8, 61, 31, 16]","[36, 95, 57, 72, 89]","[2, 46, 1, 27, 14]","[10, 32, 16, 96, 50]",50.9375
"[64, 23, 81, 40, 33]","[91, 78, 34, 62, 90]","[17, 27, 84, 73, 72]","[55, 86, 42, 63, 2]",59.45054945054945
"[62, 17, 58, 27, 95]","[27, 21, 81, 78, 49]","[14, 87, 62, 75, 64]","[48, 77, 30, 19, 14]",67.6842105263158
"[73, 36, 72, 51, 45]","[33, 20, 92, 93, 35]","[87, 5, 16, 74, 63]","[88, 43, 80, 47, 13]",72.25806451612904
"[39, 12, 79, 57, 60]","[2, 37, 53, 11, 68]","[17, 18, 21, 12, 42]","[15, 36, 61, 56, 34]",76.45569620253164
"[10, 12, 94, 78, 25]","[97, 65, 49, 90, 90]","[83, 41, 23, 9, 71]","[43, 60, 10, 67, 76]",59.69072164948454
"[27, 100, 61, 65, 4]","[32, 36, 38, 41, 25]","[29, 98, 2, 38, 39]","[80, 87, 21, 85, 11]",74.9
"[96, 73, 98, 76, 29]","[6, 48, 70, 37, 44]","[15, 77, 97, 87, 58]","[38, 65, 11, 28, 1]",63.46938775510204
"[49, 24, 83, 71, 25]","[58, 93, 73, 9, 37]","[70, 25, 5, 8, 73]","[2, 25, 70, 37, 79]",64.08602150537635
"[89, 37, 52, 6, 60]","[49, 17, 17, 52, 12]","[65, 71, 29, 83, 33]","[89, 28, 58, 28, 94]",78.19148936170212
"[92, 40, 82, 43, 9]","[17, 45, 26, 30, 78]","[72, 42, 30, 23, 92]","[5, 43, 21, 70, 61]",65.97826086956522
"[6, 97, 36, 19, 56]","[33, 1, 66, 2, 79]","[82, 98, 58, 29, 9]","[16, 86, 57, 53, 11]",62.04081632653061
"[32, 75, 79, 30, 64]","[90, 45, 69, 13, 50]","[55, 51, 56, 77, 59]","[37, 38, 17, 15, 37]",69.66666666666667
"[3, 37, 84, 50, 94]","[36, 86, 30, 75, 48]","[90, 85, 72, 83, 45]","[9, 83, 8, 100, 21]",64.1
"[39, 12, 62, 73, 45]","[10, 99, 55, 6, 76]","[26, 28, 64, 57, 72]","[68, 12, 93, 90, 19]",74.34343434343434
"[49, 52, 90, 98, 89]","[6, 76, 76, 11, 49]","[62, 95, 80, 52, 41]","[24, 44, 99, 33, 87]",76.06060606060606
"[64, 57, 10, 33, 87]","[81, 16, 84, 39, 96]","[9, 80, 71, 64, 88]","[74, 40, 17, 5, 9]",66.45833333333333
"[75, 57, 59, 40, 95]","[67, 68, 64, 89, 94]","[55, 73, 14, 42, 5]","[75, 28, 53, 13, 76]",70.10526315789473
"[7, 46, 11, 25, 40]","[71, 88, 81, 75, 21]","[17, 52, 21, 65, 19]","[1, 43, 95, 7, 76]",67.4736842105263
"[41, 91, 71, 97, 7]","[28, 96, 31, 74, 80]","[62, 82, 50, 95, 88]","[51, 79, 88, 69, 11]",82.78350515463917
"[71, 58, 80, 74, 15]","[62, 47, 15, 25, 74]","[61, 64, 26, 88, 29]","[61, 4, 82, 48, 13]",73.75000000000001
"[39, 25, 44, 76, 13]","[76, 6, 72, 53, 54]","[27, 82, 46, 85, 38]","[46, 13, 61, 57, 63]",64.23529411764706
"[54, 52, 83, 50, 80]","[44, 21, 98, 36, 81]","[48, 52, 40, 11, 91]","[14, 79, 23, 50, 21]",67.95918367346938
"[24, 4, 46, 95, 2]","[44, 93, 21, 11, 88]","[70, 53, 43, 38, 98]","[52, 41, 51, 71, 65]",71.22448979591837
"[42, 86, 3, 53, 28]","[26, 26, 92, 82, 48]","[20, 11, 61, 3, 58]","[90, 75, 41, 14, 19]",68.91304347826087
"[100, 86, 76, 7, 39]","[90, 31, 42, 73, 17]","[68, 12, 9, 28, 9]","[5, 47, 58, 93, 25]",62.1
"[61, 11, 37, 71, 81]","[100, 95, 47, 40, 99]","[21, 15, 73, 26, 82]","[16, 60, 15, 43, 100]",62.1
"[87, 92, 11, 24, 36]","[40, 76, 11, 92, 45]","[55, 59, 48, 86, 41]","[41, 37, 24, 25, 17]",76.84782608695652
"[62, 96, 77, 35, 41]","[21, 41, 62, 11, 62]","[4, 47, 2, 7, 75]","[86, 28, 100, 36, 52]",77.3
"[78, 75, 2, 65, 40]","[80, 40, 73, 84, 69]","[2, 29, 28, 23, 12]","[6, 25, 80, 13, 40]",40.0
"[76, 68, 28, 61, 1]","[85, 58, 25, 75, 3]","[100, 8, 62, 31, 89]","[48, 41, 91, 83, 77]",55.2
"[74, 67, 60, 36, 6]","[45, 61, 11, 41, 39]","[63, 41, 56, 1, 73]","[9, 55, 25, 81, 66]",53.82716049382716
"[59, 61, 81, 89, 59]","[97, 19, 79, 2, 76]","[92, 31, 49, 3, 62]","[43, 15, 75, 95, 53]",85.36082474226804
"[75, 16, 94, 88, 28]","[37, 33, 97, 20, 80]","[19, 68, 29, 47, 43]","[55, 81, 66, 60, 7]",64.22680412371135
"[100, 51, 49, 9, 68]","[91, 52, 19, 52, 69]","[24, 79, 25, 11, 91]","[50, 69, 27, 19, 51]",72.0
"[37, 64, 18, 85, 67]","[14, 74, 46, 62, 63]","[57, 42, 62, 5, 40]","[50, 41, 44, 10, 71]",63.294117647058826
"[6, 61, 25, 87, 41]","[74, 10, 72, 78, 91]","[33, 100, 35, 60, 17]","[41, 47, 70, 96, 88]",59.0
"[11, 19, 7, 10, 11]","[36, 4, 48, 28, 34]","[49, 39, 73, 6, 62]","[18, 1, 39, 32, 84]",67.26190476190476
"[78, 5, 56, 45, 54]","[41, 53, 32, 76, 26]","[26, 50, 58, 56, 89]","[94, 53, 95, 9, 59]",71.47368421052633
"[95, 74, 2, 31, 98]","[50, 93, 34, 73, 67]","[2, 2, 69, 39, 21]","[37, 58, 91, 58, 63]",51.12244897959184
"[33, 65, 51, 98, 45]","[74, 42, 8, 48, 15]","[91, 51, 50, 55, 61]","[50, 3, 27, 20, 28]",67.44897959183673
"[40, 94, 87, 52, 80]","[61, 1, 91, 66, 74]","[16, 27, 34, 38, 7]","[29, 77, 22, 93, 85]",61.48936170212766
"[52, 72, 42, 13, 48]","[24, 55, 76, 67, 12]","[29, 79, 29, 5, 18]","[51, 94, 82, 37, 12]",71.59574468085107
"[53, 22, 45, 81, 15]","[63, 57, 3, 83, 60]","[73, 42, 31, 13, 52]","[80, 32, 63, 58, 15]",74.81927710843374
"[36, 57, 9, 47, 55]","[73, 77, 26, 67, 78]","[97, 5, 7, 24, 19]","[53, 21, 61, 41, 65]",65.15463917525773
"[49, 70, 68, 53, 5]","[3, 40, 85, 18, 85]","[95, 72, 98, 20, 8]","[69, 72, 46, 70, 90]",63.06122448979592
"[53, 72, 81, 37, 60]","[22, 38, 42, 6, 66]","[83, 2, 2, 9, 45]","[42, 78, 37, 14, 72]",69.03614457831326
"[67, 87, 81, 11, 97]","[42, 19, 59, 13, 76]","[53, 95, 62, 48, 94]","[8, 69, 60, 84, 72]",65.05154639175258
"[6, 65, 14, 84, 12]","[93, 61, 27, 56, 97]","[25, 86, 85, 78, 48]","[79, 53, 94, 72, 12]",58.865979381443296
"[65, 6, 43, 72, 35]","[9, 8, 25, 25, 6]","[30, 80, 65, 82, 96]","[16, 9, 73, 29, 54]",55.833333333333336
"[65, 56, 22, 39, 100]","[74, 96, 72, 41, 22]","[15, 51, 80, 40, 26]","[36, 85, 4, 7, 76]",75.1
"[80, 79, 76, 91, 90]","[78, 15, 13, 11, 25]","[8, 49, 49, 60, 41]","[38, 92, 76, 81, 42]",65.43478260869566
"[66, 85, 75, 52, 85]","[6, 98, 92, 8, 62]","[19, 10, 1, 9, 96]","[34, 84, 63, 18, 75]",67.75510204081634
"[36, 24, 90, 81, 92]","[44, 86, 88, 28, 45]","[74, 65, 38, 34, 82]","[13, 98, 70, 75, 63]",69.79591836734694
"[5, 1, 55, 52, 66]","[29, 61, 71, 60, 50]","[45, 44, 74, 50, 67]","[27, 26, 51, 81, 4]",74.69135802469135
"[7, 1, 73, 84, 36]","[68, 80, 23, 99, 98]","[64, 79, 61, 47, 72]","[44, 71, 11, 31, 16]",63.333333333333336
"[27, 59, 1, 21, 57]","[64, 65, 57, 66, 81]","[41, 95, 65, 90, 84]","[60, 40, 79, 12, 61]",75.6842105263158
"[3, 27, 3, 84, 7]","[7, 20, 18, 15, 23]","[73, 19, 14, 43, 30]","[56, 62, 57, 50, 50]",61.30952380952381
"[90, 20, 57, 93, 43]","[90, 14, 63, 98, 34]","[26, 67, 64, 62, 57]","[1, 44, 69, 4, 29]",58.673469387755105
"[44, 6, 14, 54, 91]","[32, 77, 54, 44, 80]","[60, 39, 100, 59, 90]","[65, 58, 21, 12, 93]",73.9
"[40, 34, 37, 43, 28]","[99, 54, 4, 25, 87]","[55, 47, 44, 11, 14]","[8, 49, 97, 57, 36]",68.98989898989899
"[2, 87, 31, 22, 93]","[34, 16, 93, 56, 96]","[69, 92, 64, 89, 11]","[3, 84, 89, 95, 49]",54.479166666666664
"[4, 31, 3, 74, 2]","[23, 40, 11, 60, 76]","[69, 93, 87, 34, 1]","[97, 2, 47, 67, 93]",44.329896907216494
"[84, 5, 22, 39, 27]","[52, 85, 33, 100, 11]","[90, 92, 10, 10, 37]","[20, 72, 62, 58, 5]",60.4
"[26, 86, 12, 40, 2]","[15, 91, 50, 36, 88]","[1, 97, 59, 1, 74]","[60, 39, 86, 24, 8]",73.71134020618557
"[18, 24, 91, 49, 63]","[7, 55, 77, 86, 89]","[10, 25, 90, 95, 26]","[2, 51, 48, 96, 20]",69.37499999999999
"[19, 51, 8, 6, 18]","[67, 82, 29, 89, 3]","[71, 9, 24, 54, 59]","[20, 89, 95, 85, 43]",57.578947368421055
"[78, 56, 31, 2, 70]","[13, 77, 52, 80, 27]","[44, 79, 87, 33, 34]","[59, 3, 87, 87, 67]",61.14942528735632
"[83, 75, 68, 42, 67]","[63, 54, 82, 65, 17]","[60, 85, 10, 17, 4]","[100, 51, 47, 80, 66]",73.2
"[4, 93, 24, 8, 59]","[29, 6, 68, 87, 94]","[54, 32, 98, 39, 43]","[79, 87, 13, 71, 88]",62.857142857142854
"[53, 73, 53, 50, 10]","[75, 91, 91, 19, 76]","[58, 35, 60, 4, 19]","[36, 81, 74, 65, 59]",68.57142857142857
"[21, 94, 88, 55, 48]","[84, 65, 41, 96, 64]","[33, 12, 54, 29, 15]","[88, 13, 35, 85, 48]",51.666666666666664
"[71, 83, 29, 3, 100]","[29, 75, 74, 70, 11]","[19, 94, 57, 47, 77]","[86, 95, 56, 27, 70]",75.7
"[27, 6, 4, 23, 10]","[86, 92, 20, 24, 91]","[7, 47, 54, 42, 76]","[59, 19, 63, 66, 92]",54.34782608695652
"[79, 66, 8, 64, 75]","[61, 59, 58, 35, 58]","[19, 50, 82, 66, 14]","[38, 1, 65, 31, 67]",56.829268292682926
"[40, 29, 35, 76, 98]","[6, 42, 11, 65, 50]","[69, 91, 100, 73, 69]","[96, 59, 52, 77, 42]",61.2
"[83, 61, 51, 42, 46]","[50, 18, 48, 71, 9]","[21, 72, 22, 38, 42]","[47, 37, 24, 22, 75]",62.53012048192771
"[98, 41, 96, 36, 32]","[74, 11, 68, 61, 1]","[90, 13, 77, 91, 74]","[52, 84, 34, 2, 81]",62.857142857142854
"[23, 87, 56, 86, 13]","[67, 68, 65, 68, 14]","[66, 63, 65, 55, 73]","[29, 18, 89, 46, 22]",73.59550561797752
"[99, 5, 48, 9, 25]","[26, 29, 85, 7, 76]","[18, 89, 98, 5, 57]","[97, 14, 19, 12, 5]",83.33333333333333
"[27, 76, 98, 69, 100]","[35, 46, 18, 9, 49]","[2, 58, 87, 28, 31]","[54, 65, 86, 52, 39]",72.1
"[12, 24, 40, 51, 9]","[46, 85, 91, 29, 12]","[77, 81, 28, 34, 20]","[79, 56, 7, 27, 45]",66.7032967032967
"[27, 97, 6, 62, 14]","[16, 28, 26, 35, 99]","[22, 19, 52, 96, 6]","[34, 72, 2, 71, 98]",67.27272727272727
"[69, 4, 60, 85, 79]","[69, 38, 57, 68, 27]","[48, 24, 5, 51, 3]","[90, 11, 65, 76, 74]",80.55555555555556
"[76, 25, 59, 19, 38]","[40, 26, 51, 43, 58]","[28, 11, 77, 16, 45]","[56, 74, 80, 21, 15]",74.0
"[16, 85, 98, 28, 21]","[4, 30, 22, 31, 87]","[74, 33, 89, 14, 42]","[27, 1, 30, 58, 10]",58.57142857142857
"[32, 13, 33, 73, 38]","[85, 55, 68, 14, 65]","[55, 11, 81, 80, 4]","[29, 1, 14, 69, 47]",69.29411764705883
"[75, 14, 63, 11, 18]","[88, 82, 55, 12, 22]","[63, 98, 16, 18, 93]","[74, 80, 39, 95, 18]",66.12244897959184
"[4, 79, 52, 41, 55]","[35, 92, 86, 54, 25]","[98, 85, 55, 76, 97]","[89, 49, 80, 54, 6]",59.183673469387756
"[77, 37, 60, 65, 9]","[89, 97, 77, 99, 12]","[30, 64, 90, 50, 51]","[91, 31, 11, 61, 62]",67.77777777777777
"[21, 25, 3, 63, 94]","[82, 7, 65, 82, 35]","[99, 11, 28, 34, 56]","[34, 29, 60, 71, 24]",71.81818181818181
"[59, 87, 95, 60, 11]","[77, 43, 49, 4, 59]","[62, 10, 18, 40, 3]","[75, 75, 13, 90, 19]",66.42105263157895
"[100, 69, 81, 15, 42]","[94, 25, 9, 40, 62]","[94, 1, 25, 62, 57]","[63, 26, 84, 45, 54]",80.8
"[76, 36, 17, 88, 42]","[14, 21, 30, 47, 100]","[39, 30, 98, 55, 3]","[63, 83, 87, 63, 71]",60.9
"[21, 64, 44, 82, 8]","[51, 25, 79, 33, 62]","[67, 65, 58, 50, 54]","[57, 92, 20, 100, 16]",78.4
"[37, 73, 20, 42, 29]","[92, 95, 41, 37, 42]","[95, 13, 70, 68, 34]","[15, 71, 94, 39, 100]",67.5
"[91, 45, 54, 4, 22]","[72, 52, 28, 90, 20]","[12, 11, 54, 63, 72]","[56, 22, 9, 9, 7]",63.84615384615385
"[76, 66, 74, 52, 19]","[5, 65, 51, 43, 83]","[44, 35, 40, 74, 20]","[1, 32, 72, 32, 2]",61.204819277108435
"[63, 46, 58, 47, 77]","[9, 80, 81, 94, 41]","[7, 43, 54, 84, 91]","[29, 9, 10, 47, 99]",73.03030303030303
"[50, 76, 36, 1, 65]","[33, 37, 43, 35, 59]","[3, 45, 99, 85, 45]","[97, 46, 72, 38, 80]",67.37373737373737
"[58, 91, 27, 14, 3]","[32, 32, 97, 58, 25]","[34, 41, 23, 18, 26]","[90, 10, 44, 61, 53]",63.608247422680414
"[88, 25, 11, 4, 57]","[60, 80, 90, 12, 48]","[53, 66, 99, 36, 60]","[4, 24, 9, 82, 80]",74.34343434343434
"[38, 44, 37, 56, 36]","[95, 10, 35, 84, 22]","[80, 67, 61, 36, 63]","[69, 62, 7, 67, 76]",66.63157894736842
"[35, 23, 90, 43, 77]","[44, 28, 57, 28, 25]","[21, 19, 7, 60, 12]","[32, 32, 51, 35, 38]",75.0
"[81, 47, 44, 37, 19]","[81, 25, 2, 81, 17]","[39, 30, 19, 14, 94]","[87, 4, 66, 77, 23]",65.63829787234043
"[80, 25, 72, 5, 53]","[30, 87, 68, 26, 25]","[81, 18, 15, 39, 78]","[15, 42, 80, 55, 45]",55.51724137931034
"[79, 42, 86, 17, 88]","[13, 83, 67, 63, 73]","[59, 45, 56, 19, 12]","[72, 51, 31, 23, 12]",59.88636363636363
"[39, 40, 40, 40, 58]","[52, 14, 45, 84, 7]","[80, 31, 50, 7, 86]","[87, 23, 49, 34, 73]",65.40229885057471
"[45, 30, 90, 60, 70]","[34, 34, 70, 17, 31]","[62, 82, 40, 13, 55]","[23, 41, 90, 72, 92]",78.15217391304348
"[51, 11, 46, 14, 79]","[7, 72, 74, 2, 35]","[42, 100, 42, 31, 72]","[10, 38, 66, 52, 7]",64.1
"[4, 82, 19, 37, 65]","[5, 70, 80, 40, 73]","[90, 4, 46, 50, 61]","[50, 74, 86, 89, 40]",55.0
"[59, 96, 24, 45, 81]","[88, 20, 18, 3, 14]","[51, 77, 40, 38, 87]","[47, 23, 29, 96, 30]",56.666666666666664
"[60, 72, 94, 59, 25]","[59, 12, 9, 19, 89]","[94, 74, 19, 42, 70]","[86, 11, 93, 10, 27]",69.36170212765957
"[45, 22, 7, 69, 54]","[31, 39, 63, 77, 53]","[43, 23, 19, 67, 95]","[22, 47, 59, 33, 40]",71.1578947368421
"[86, 24, 2, 36, 85]","[13, 64, 69, 97, 37]","[15, 30, 34, 61, 25]","[48, 8, 43, 91, 78]",71.54639175257734
"[64, 36, 14, 50, 50]","[5, 53, 70, 84, 41]","[75, 39, 69, 52, 67]","[4, 14, 82, 96, 69]",62.708333333333336
"[71, 41, 48, 85, 61]","[34, 44, 71, 51, 28]","[91, 32, 77, 68, 15]","[50, 61, 71, 22, 33]",71.42857142857143
"[67, 10, 1, 52, 4]","[35, 59, 67, 95, 21]","[11, 13, 36, 44, 6]","[32, 9, 46, 21, 55]",65.26315789473684
"[38, 53, 23, 55, 62]","[100, 33, 96, 81, 91]","[92, 94, 78, 98, 84]","[38, 66, 57, 77, 50]",80.8
"[35, 76, 90, 75, 98]","[70, 36, 19, 33, 94]","[1, 50, 22, 97, 78]","[55, 34, 38, 80, 21]",63.06122448979592
"[78, 66, 100, 9, 70]","[82, 54, 42, 78, 92]","[7, 33, 27, 87, 12]","[29, 44, 28, 10, 99]",62.7
"[9, 48, 31, 11, 37]","[57, 90, 14, 28, 65]","[42, 37, 16, 46, 55]","[85, 59, 25, 74, 67]",68.44444444444444
"[38, 46, 99, 28, 46]","[62, 12, 60, 11, 45]","[73, 40, 65, 5, 25]","[57, 21, 44, 99, 36]",74.74747474747475
"[31, 32, 14, 26, 93]","[51, 88, 27, 34, 20]","[86, 11, 40, 87, 66]","[31, 20, 1, 81, 48]",62.473118279569896
"[87, 10, 64, 82, 23]","[76, 1, 21, 5, 84]","[60, 76, 21, 94, 13]","[71, 74, 26, 62, 72]",53.40425531914894
"[23, 63, 11, 4, 25]","[50, 1, 39, 99, 75]","[42, 2, 35, 19, 34]","[30, 100, 77, 82, 22]",67.5
"[15, 13, 18, 75, 17]","[70, 54, 92, 34, 100]","[100, 72, 59, 51, 40]","[59, 79, 57, 92, 87]",60.6
"[43, 45, 37, 66, 21]","[67, 7, 69, 33, 88]","[46, 85, 13, 19, 47]","[7, 82, 71, 40, 68]",55.68181818181818
"[30, 74, 53, 1, 94]","[6, 93, 89, 92, 62]","[69, 2, 11, 91, 88]","[41, 100, 52, 11, 28]",62.7
"[33, 78, 21, 89, 18]","[28, 97, 33, 11, 86]","[74, 9, 96, 62, 86]","[11, 12, 63, 88, 91]",53.402061855670105
"[88, 5, 33, 1, 92]","[75, 54, 31, 92, 72]","[44, 37, 62, 56, 74]","[48, 22, 36, 84, 7]",62.5
"[78, 73, 38, 86, 63]","[90, 96, 83, 73, 35]","[7, 24, 57, 74, 76]","[70, 25, 88, 10, 58]",57.291666666666664
"[78, 76, 82, 1, 22]","[9, 52, 73, 96, 88]","[18, 92, 25, 53, 60]","[17, 20, 89, 28, 28]",66.14583333333333
"[51, 33, 17, 13, 34]","[53, 97, 82, 94, 80]","[58, 51, 46, 62, 44]","[32, 92, 43, 74, 98]",60.816326530612244
"[2, 56, 30, 51, 61]","[27, 86, 57, 65, 89]","[1, 40, 95, 97, 86]","[61, 34, 74, 33, 92]",67.11340206185567
"[14, 4, 90, 44, 10]","[91, 89, 54, 9, 75]","[65, 49, 1, 88, 15]","[20, 73, 63, 49, 46]",55.934065934065934
"[38, 61, 18, 61, 26]","[99, 13, 37, 88, 50]","[61, 33, 16, 71, 21]","[75, 80, 43, 90, 66]",72.22222222222223
"[13, 81, 10, 67, 31]","[58, 57, 85, 98, 67]","[73, 81, 58, 74, 9]","[75, 77, 69, 8, 80]",61.12244897959184
"[80, 18, 16, 45, 43]","[69, 60, 42, 57, 64]","[27, 33, 51, 8, 20]","[55, 79, 1, 22, 95]",63.473684210526315
"[65, 20, 1, 56, 35]","[68, 76, 31, 4, 39]","[71, 2, 94, 86, 34]","[91, 50, 34, 22, 75]",58.51063829787234
"[9, 34, 58, 21, 40]","[81, 91, 30, 87, 54]","[42, 79, 68, 17, 66]","[85, 8, 26, 82, 96]",56.041666666666664
"[70, 87, 24, 9, 50]","[36, 67, 93, 66, 6]","[34, 39, 85, 74, 6]","[28, 27, 50, 89, 89]",68.49462365591398
"[67, 16, 94, 46, 19]","[37, 84, 96, 5, 87]","[82, 20, 25, 95, 34]","[30, 50, 68, 46, 60]",51.979166666666664
"[38, 95, 22, 20, 34]","[73, 95, 55, 39, 44]","[62, 86, 4, 26, 10]","[3, 49, 93, 82, 55]",62.8421052631579
"[32, 79, 84, 79, 37]","[28, 72, 42, 66, 56]","[12, 99, 95, 3, 71]","[87, 93, 22, 57, 61]",64.54545454545455
"[46, 72, 36, 40, 57]","[34, 21, 3, 67, 62]","[63, 97, 56, 24, 9]","[3, 72, 3, 4, 12]",57.628865979381445
"[1, 10, 35, 58, 8]","[46, 73, 68, 31, 53]","[61, 80, 19, 5, 66]","[94, 60, 23, 87, 23]",67.12765957446808
"[88, 96, 93, 74, 6]","[14, 64, 80, 55, 55]","[78, 33, 76, 59, 69]","[9, 31, 84, 51, 5]",69.37499999999999
"[64, 82, 10, 89, 62]","[40, 35, 69, 7, 22]","[31, 2, 76, 71, 19]","[30, 40, 82, 37, 20]",59.7752808988764
"[11, 7, 68, 54, 18]","[37, 7, 11, 83, 94]","[79, 97, 36, 53, 70]","[49, 89, 69, 24, 65]",57.83505154639175
